iso_alpha_3,date,deaths,confirmed,tests,vaccines,people_vaccinated,people_fully_vaccinated,hosp,population,date_obs,day
GBR,2021-01-11,1244,46169,555202,165844,145076,20768,36276,66460344,1,1
GBR,2021-01-12,1320,45533,596013,223726,207661,16065,36509,66460344,2,2
GBR,2021-01-13,1309,47525,643787,288688,278943,9745,37031,66460344,3,3
GBR,2021-01-14,1341,48682,701914,321951,316694,5257,37236,66460344,4,4
GBR,2021-01-15,1324,55761,604569,345525,341317,4208,37688,66460344,5,5
GBR,2021-01-16,1419,41342,501076,298751,296131,2620,37261,66460344,6,6
GBR,2021-01-17,1361,38598,424705,192346,190107,2239,37721,66460344,7,7
GBR,2021-01-18,1401,37535,590543,208641,204076,4565,38824,66460344,8,1
GBR,2021-01-19,1490,33355,601959,346922,343163,3759,38436,66460344,9,2
GBR,2021-01-20,1383,38905,666455,366919,363508,3411,38335,66460344,10,3
GBR,2021-01-21,1350,37892,675964,412615,409855,2760,37646,66460344,11,4
GBR,2021-01-22,1335,40261,649618,480069,478248,1821,37842,66460344,12,5
GBR,2021-01-23,1288,33552,486027,493013,491970,1043,36985,66460344,13,6
GBR,2021-01-24,1239,30004,418731,221067,220249,818,37317,66460344,14,7
GBR,2021-01-25,1263,22195,569345,281725,279757,1968,37352,66460344,15,1
GBR,2021-01-26,1173,20088,617860,312770,311060,1710,36712,66460344,16,2
GBR,2021-01-27,1232,25308,786445,314707,312378,2329,35147,66460344,17,3
GBR,2021-01-28,1224,28680,776120,416188,414419,1769,34549,66460344,18,4
GBR,2021-01-29,1160,29079,679318,489934,487756,2178,33503,66460344,19,5
GBR,2021-01-30,1026,23275,446172,609010,598389,10621,32676,66460344,20,6
GBR,2021-01-31,995,21088,604452,322194,319038,3156,32246,66460344,21,7
GBR,2021-02-01,1007,18607,678952,352935,350348,2587,32641,66460344,22,1
GBR,2021-02-02,963,16840,633038,376922,374756,2166,31467,66460344,23,2
GBR,2021-02-03,976,19202,818128,472011,469016,2995,30314,66460344,24,3
GBR,2021-02-04,826,20634,810986,484596,480560,4036,29145,66460344,25,4
GBR,2021-02-05,874,19114,694695,498227,494163,4064,28129,66460344,26,5
GBR,2021-02-06,787,18262,466762,551470,549808,1662,26669,66460344,27,6
GBR,2021-02-07,753,15845,602354,279850,278988,862,26553,66460344,28,7
GBR,2021-02-08,781,14104,657446,356291,352480,3811,26515,66460344,29,1
GBR,2021-02-09,723,12364,606861,414973,411812,3161,25464,66460344,30,2
GBR,2021-02-10,712,13013,787702,455704,450810,4894,24203,66460344,31,3
GBR,2021-02-11,676,13494,770642,508763,503116,5647,23201,66460344,32,4
GBR,2021-02-12,636,15144,644620,549378,544603,4775,22129,66460344,33,5
GBR,2021-02-13,586,13307,416831,508208,505362,2846,20779,66460344,34,6
GBR,2021-02-14,605,10972,409175,239877,237962,1915,20861,66460344,35,7
GBR,2021-02-15,615,9765,487818,282491,275956,6535,20805,66460344,36,1
GBR,2021-02-16,568,10625,516259,377277,364865,12412,20038,66460344,37,2
GBR,2021-02-17,506,12717,592334,497257,482110,15147,19277,66460344,38,3
GBR,2021-02-18,521,12057,577265,468321,452454,15867,18357,66460344,39,4
GBR,2021-02-19,469,12027,539346,387200,371906,15294,17705,66460344,40,5
GBR,2021-02-20,452,10406,414084,344942,334679,10263,16888,66460344,41,6
GBR,2021-02-21,411,9834,599758,150896,141719,9177,16706,66460344,42,7
GBR,2021-02-22,379,10641,711748,210804,192341,18463,16711,66460344,43,1
GBR,2021-02-23,381,8489,625981,353009,326692,26317,15951,66460344,44,2
GBR,2021-02-24,367,9938,758332,480575,448962,31613,15400,66460344,45,3
GBR,2021-02-25,355,9985,768387,521039,485720,35319,14715,66460344,46,4
GBR,2021-02-26,304,8523,628875,537266,504493,32773,13952,66460344,47,5
GBR,2021-02-27,308,7434,392224,434825,407503,27322,13141,66460344,48,6
GBR,2021-02-28,281,6035,546417,205584,185900,19684,12666,66460344,49,7
GBR,2021-03-01,297,5455,775043,231450,203168,28282,12765,66460344,50,1
GBR,2021-03-02,244,6391,732148,276310,224996,51314,12023,66460344,51,2
GBR,2021-03-03,218,6385,887823,347406,278956,68450,11420,66460344,52,3
GBR,2021-03-04,234,6573,1045002,446450,376244,70206,10836,66460344,53,4
GBR,2021-03-05,222,5946,1007805,494235,437463,56772,10221,66460344,54,5
GBR,2021-03-06,210,6039,482357,448396,416834,31562,9621,66460344,55,6
GBR,2021-03-07,197,5177,825096,184384,164143,20241,9367,66460344,56,7
GBR,2021-03-08,197,4712,1617141,254061,215273,38788,9379,66460344,57,1
GBR,2021-03-09,185,5766,1491508,290223,217301,72922,8912,66460344,58,2
GBR,2021-03-10,163,5926,1661529,341049,243887,97162,8355,66460344,59,3
GBR,2021-03-11,173,6753,1732618,354372,260809,93563,7982,66460344,60,4
GBR,2021-03-12,135,6609,1519768,457254,369578,87676,7646,66460344,61,5
GBR,2021-03-13,135,5534,471202,564263,512108,52155,7302,66460344,62,6
GBR,2021-03-14,138,4618,991620,282381,257010,25371,7235,66460344,63,7
GBR,2021-03-15,139,5089,1690547,440051,386685,53366,7125,66460344,64,1
GBR,2021-03-16,114,5294,1431829,529119,433320,95799,6765,66460344,65,2
GBR,2021-03-17,127,5758,1731710,581855,462246,119609,6498,66460344,66,3
GBR,2021-03-18,100,6303,1569802,660276,528260,132016,6061,66460344,67,4
GBR,2021-03-19,104,4802,1021145,740655,614930,125725,5793,66460344,68,5
GBR,2021-03-20,101,5587,500666,844285,752308,91977,5480,66460344,69,6
GBR,2021-03-21,127,5312,1917926,419618,367006,52612,5367,66460344,70,7
GBR,2021-03-22,108,5342,1336848,412197,329897,82300,5359,66460344,71,1
GBR,2021-03-23,95,5379,914608,494805,325650,169155,5079,66460344,72,2
GBR,2021-03-24,70,5604,1857975,580307,337665,242642,4806,66460344,73,3
GBR,2021-03-25,79,6220,1435970,559324,324942,234382,4520,66460344,74,4
GBR,2021-03-26,75,6187,756657,694959,411305,283654,4423,66460344,75,5
GBR,2021-03-27,65,3865,499391,663162,424301,238861,4374,66460344,76,6
GBR,2021-03-28,50,3862,1668378,441142,293548,147594,4121,66460344,77,7
GBR,2021-03-29,71,4654,1028366,405039,236809,168230,4139,66460344,78,1
GBR,2021-03-30,56,4040,734069,503599,225917,277682,3925,66460344,79,2
GBR,2021-03-31,74,4052,1320111,627008,239434,387574,3688,66460344,80,3
