iso_alpha_3,date,deaths,confirmed,tests,vaccines,people_vaccinated,people_fully_vaccinated,hosp,population
GBR,2021-01-10,104705,3072349,57758071,2677971,2286572,391399,34906,66460344
GBR,2021-01-11,105949,3118518,58313273,2843815,2431648,412167,36276,66460344
GBR,2021-01-12,107269,3164051,58909286,3067541,2639309,428232,36509,66460344
GBR,2021-01-13,108578,3211576,59553073,3356229,2918252,437977,37031,66460344
GBR,2021-01-14,109919,3260258,60254987,3678180,3234946,443234,37236,66460344
GBR,2021-01-15,111243,3316019,60859556,4023705,3576263,447442,37688,66460344
GBR,2021-01-16,112662,3357361,61360632,4322456,3872394,450062,37261,66460344
GBR,2021-01-17,114023,3395959,61785337,4514802,4062501,452301,37721,66460344
GBR,2021-01-18,115424,3433494,62375880,4723443,4266577,456866,38824,66460344
GBR,2021-01-19,116914,3466849,62977839,5070365,4609740,460625,38436,66460344
GBR,2021-01-20,118297,3505754,63644294,5437284,4973248,464036,38335,66460344
GBR,2021-01-21,119647,3543646,64320258,5849899,5383103,466796,37646,66460344
GBR,2021-01-22,120982,3583907,64969876,6329968,5861351,468617,37842,66460344
GBR,2021-01-23,122270,3617459,65455903,6822981,6353321,469660,36985,66460344
GBR,2021-01-24,123509,3647463,65874634,7044048,6573570,470478,37317,66460344
GBR,2021-01-25,124772,3669658,66443979,7325773,6853327,472446,37352,66460344
GBR,2021-01-26,125945,3689746,67061839,7638543,7164387,474156,36712,66460344
GBR,2021-01-27,127177,3715054,67848284,7953250,7476765,476485,35147,66460344
GBR,2021-01-28,128401,3743734,68624404,8369438,7891184,478254,34549,66460344
GBR,2021-01-29,129561,3772813,69303722,8859372,8378940,480432,33503,66460344
GBR,2021-01-30,130587,3796088,69749894,9468382,8977329,491053,32676,66460344
GBR,2021-01-31,131582,3817176,70354346,9790576,9296367,494209,32246,66460344
GBR,2021-02-01,132589,3835783,71033298,10143511,9646715,496796,32641,66460344
GBR,2021-02-02,133552,3852623,71666336,10520433,10021471,498962,31467,66460344
GBR,2021-02-03,134528,3871825,72484464,10992444,10490487,501957,30314,66460344
GBR,2021-02-04,135354,3892459,73295450,11477040,10971047,505993,29145,66460344
GBR,2021-02-05,136228,3911573,73990145,11975267,11465210,510057,28129,66460344
GBR,2021-02-06,137015,3929835,74456907,12526737,12015018,511719,26669,66460344
GBR,2021-02-07,137768,3945680,75059261,12806587,12294006,512581,26553,66460344
GBR,2021-02-08,138549,3959784,75716707,13162878,12646486,516392,26515,66460344
GBR,2021-02-09,139272,3972148,76323568,13577851,13058298,519553,25464,66460344
GBR,2021-02-10,139984,3985161,77111270,14033555,13509108,524447,24203,66460344
GBR,2021-02-11,140660,3998655,77881912,14542318,14012224,530094,23201,66460344
GBR,2021-02-12,141296,4013799,78526532,15091696,14556827,534869,22129,66460344
GBR,2021-02-13,141882,4027106,78943363,15599904,15062189,537715,20779,66460344
GBR,2021-02-14,142487,4038078,79352538,15839781,15300151,539630,20861,66460344
GBR,2021-02-15,143102,4047843,79840356,16122272,15576107,546165,20805,66460344
GBR,2021-02-16,143670,4058468,80356615,16499549,15940972,558577,20038,66460344
GBR,2021-02-17,144176,4071185,80948949,16996806,16423082,573724,19277,66460344
GBR,2021-02-18,144697,4083242,81526214,17465127,16875536,589591,18357,66460344
GBR,2021-02-19,145166,4095269,82065560,17852327,17247442,604885,17705,66460344
GBR,2021-02-20,145618,4105675,82479644,18197269,17582121,615148,16888,66460344
GBR,2021-02-21,146029,4115509,83079402,18348165,17723840,624325,16706,66460344
GBR,2021-02-22,146408,4126150,83791150,18558969,17916181,642788,16711,66460344
GBR,2021-02-23,146789,4134639,84417131,18911978,18242873,669105,15951,66460344
GBR,2021-02-24,147156,4144577,85175463,19392553,18691835,700718,15400,66460344
GBR,2021-02-25,147511,4154562,85943850,19913592,19177555,736037,14715,66460344
GBR,2021-02-26,147815,4163085,86572725,20450858,19682048,768810,13952,66460344
GBR,2021-02-27,148123,4170519,86964949,20885683,20089551,796132,13141,66460344
GBR,2021-02-28,148404,4176554,87511366,21091267,20275451,815816,12666,66460344
GBR,2021-03-01,148701,4182009,88286409,21322717,20478619,844098,12765,66460344
GBR,2021-03-02,148945,4188400,89018557,21599027,20703615,895412,12023,66460344
GBR,2021-03-03,149163,4194785,89906380,21946433,20982571,963862,11420,66460344
GBR,2021-03-04,149397,4201358,90951382,22392883,21358815,1034068,10836,66460344
GBR,2021-03-05,149619,4207304,91959187,22887118,21796278,1090840,10221,66460344
GBR,2021-03-06,149829,4213343,92441544,23335514,22213112,1122402,9621,66460344
GBR,2021-03-07,150026,4218520,93266640,23519898,22377255,1142643,9367,66460344
GBR,2021-03-08,150223,4223232,94883781,23773959,22592528,1181431,9379,66460344
GBR,2021-03-09,150408,4228998,96375289,24064182,22809829,1254353,8912,66460344
GBR,2021-03-10,150571,4234924,98036818,24405231,23053716,1351515,8355,66460344
GBR,2021-03-11,150744,4241677,99769436,24759603,23314525,1445078,7982,66460344
GBR,2021-03-12,150879,4248286,101289204,25216857,23684103,1532754,7646,66460344
GBR,2021-03-13,151014,4253820,101760406,25781120,24196211,1584909,7302,66460344
GBR,2021-03-14,151152,4258438,102752026,26063501,24453221,1610280,7235,66460344
GBR,2021-03-15,151291,4263527,104442573,26503552,24839906,1663646,7125,66460344
GBR,2021-03-16,151405,4268821,105874402,27032671,25273226,1759445,6765,66460344
GBR,2021-03-17,151532,4274579,107606112,27614526,25735472,1879054,6498,66460344
